,player_total,dealer_card_up,double,hit,stand,best_action
118,9,10,-0.1418,-0.0534,-0.1488,hit
119,9,11,-0.235,-0.0961,-0.18175,hit
120,8,2,-0.0583,0.00305,-0.0709,hit
121,8,3,-0.0403,0.008025,-0.06365,hit
122,8,4,-0.01865,0.021625,-0.05635,hit
123,8,5,-0.0028,0.03205,-0.04205,hit
124,8,6,0.01805,0.03675,-0.03,hit
125,8,7,-0.05115,0.020525,-0.1219,hit
126,8,8,-0.11465,-0.0094,-0.12725,hit
127,8,9,-0.1779,-0.0489,-0.13955,hit
128,8,10,-0.21375,-0.075525,-0.14355,hit
129,8,11,-0.29515,-0.1135,-0.18035,hit
130,7,2,-0.1167,-0.0223,-0.07365,hit
131,7,3,-0.08865,-0.009525,-0.0633,hit
132,7,4,-0.05835,0.003875,-0.0503,hit
133,7,5,-0.05025,0.010975,-0.04295,hit
134,7,6,-0.03295,0.025275,-0.0327,hit
135,7,7,-0.1433,-0.0103,-0.1179,hit
136,7,8,-0.2078,-0.04795,-0.1246,hit
137,7,9,-0.24555,-0.06955,-0.13275,hit
138,7,10,-0.2571,-0.0895,-0.1455,hit
139,7,11,-0.33755,-0.1327,-0.1825,hit
140,6,2,-0.1415,-0.03215,-0.0716,hit
141,6,3,-0.11675,-0.016375,-0.0619,hit
142,6,4,-0.0978,-0.000975,-0.0511,hit
143,6,5,-0.0796,0.0023,-0.03985,hit
144,6,6,-0.05395,0.017025,-0.034,hit
145,6,7,-0.2152,-0.0364,-0.11685,hit
146,6,8,-0.24965,-0.05405,-0.12515,hit
147,6,9,-0.2648,-0.073075,-0.13685,hit
148,6,10,-0.28755,-0.098725,-0.1436,hit
149,6,11,-0.3589,-0.133575,-0.18055,hit
150,5,2,-0.1394,-0.02685,-0.07265,hit
151,5,3,-0.126,-0.01055,-0.06595,hit
152,5,4,-0.1013,-0.00435,-0.052,hit
153,5,5,-0.0817,0.0065,-0.03565,hit
154,5,6,-0.0623,0.01425,-0.0311,hit
155,5,7,-0.2401,-0.02135,-0.11815,hit
156,5,8,-0.2534,-0.04255,-0.13045,hit
157,5,9,-0.2724,-0.0682,-0.13395,hit
158,5,10,-0.2911,-0.089925,-0.14105,hit
159,5,11,-0.3638,-0.125075,-0.17975,hit
160,4,2,-0.1404,-0.02195,-0.0724,hit
161,4,3,-0.1261,-0.01705,-0.05835,hit
162,4,4,-0.1054,-0.00465,-0.04775,hit
163,4,5,-0.0772,0.008125,-0.04015,hit
164,4,6,-0.0625,0.020575,-0.0325,hit
165,4,7,-0.2421,-0.014875,-0.12125,hit
166,4,8,-0.2474,-0.035575,-0.1266,hit
167,4,9,-0.2706,-0.056425,-0.1376,hit
168,4,10,-0.2953,-0.08585,-0.14665,hit
169,4,11,-0.3648,-0.117375,-0.18245,hit
